temperature,air_pressure,same_day_rain,next_day_rain,relative_humidity,wind_direction,wind_speed,cloud_height,cloud_density,month,day,daylight,lightning,air_quality
high,increasing,drizzle,dry,high,south,low,high,high,july,tuesday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,high,high,high,may,monday,cloudy,no_lightning,bad
high,decreasing,drizzle,drizzle,low,north,no_wind,high,low,june,wednesday,cloudy,no_lightning,bad
medium,increasing,deluge,dry,high,south,no_wind,low,high,april,sunday,cloudy,no_lightning,bad
high,decreasing,dry,drizzle,low,north,no_wind,no_cloud,no_cloud,june,friday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,east,no_wind,no_cloud,no_cloud,november,sunday,sunny,no_lightning,bad
medium,increasing,dry,drizzle,high,north,no_wind,no_cloud,no_cloud,march,tuesday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,north,low,low,low,march,tuesday,cloudy,no_lightning,good
medium,decreasing,deluge,deluge,high,west,no_wind,high,low,october,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,east,low,no_cloud,no_cloud,october,tuesday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,high,high,high,september,friday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,low,high,low,april,tuesday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,east,high,no_cloud,no_cloud,may,thursday,sunny,no_lightning,bad
medium,increasing,deluge,dry,low,east,no_wind,high,low,december,sunday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,north,no_wind,no_cloud,no_cloud,november,wednesday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,no_wind,high,high,march,tuesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,north,no_wind,no_cloud,no_cloud,november,saturday,sunny,no_lightning,bad
high,increasing,dry,dry,low,north,low,no_cloud,no_cloud,june,saturday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,high,no_cloud,no_cloud,november,saturday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,south,low,low,high,may,tuesday,cloudy,no_lightning,bad
medium,decreasing,drizzle,deluge,high,west,no_wind,high,high,october,friday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,east,low,low,high,october,thursday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,east,no_wind,no_cloud,no_cloud,october,tuesday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,march,sunday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,east,low,low,low,april,tuesday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,west,no_wind,no_cloud,no_cloud,march,monday,sunny,no_lightning,bad
high,decreasing,deluge,deluge,high,south,low,low,high,june,wednesday,cloudy,high,bad
cold,decreasing,deluge,deluge,high,south,high,high,low,february,thursday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,north,high,low,low,june,saturday,cloudy,low,bad
cold,decreasing,deluge,deluge,high,west,no_wind,low,low,january,thursday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,west,no_wind,low,high,june,tuesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,no_wind,low,high,february,monday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,west,no_wind,high,high,march,monday,cloudy,no_lightning,bad
cold,increasing,deluge,dry,high,west,no_wind,low,high,may,sunday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,north,no_wind,no_cloud,no_cloud,february,wednesday,sunny,no_lightning,bad
high,increasing,dry,dry,low,north,low,no_cloud,no_cloud,july,tuesday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,low,high,low,february,saturday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,west,high,high,low,may,saturday,cloudy,no_lightning,medium
medium,decreasing,dry,drizzle,low,south,no_wind,no_cloud,no_cloud,january,monday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,west,no_wind,high,low,march,thursday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,low,high,low,november,sunday,cloudy,no_lightning,good
medium,decreasing,deluge,deluge,high,south,no_wind,high,high,february,wednesday,cloudy,no_lightning,good
medium,decreasing,dry,deluge,high,south,low,no_cloud,no_cloud,august,tuesday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,no_wind,high,low,april,tuesday,sunny,no_lightning,bad
high,decreasing,dry,drizzle,low,east,no_wind,no_cloud,no_cloud,july,sunday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,east,no_wind,low,low,april,wednesday,cloudy,no_lightning,good
cold,decreasing,deluge,deluge,high,north,low,low,low,january,saturday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,high,low,low,december,monday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,north,low,high,low,february,monday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,low,no_cloud,no_cloud,november,sunday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,north,low,no_cloud,no_cloud,may,wednesday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,north,low,no_cloud,no_cloud,january,sunday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,east,no_wind,high,high,june,wednesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,east,no_wind,no_cloud,no_cloud,december,friday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,no_wind,low,high,october,friday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,low,high,high,september,friday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,no_wind,low,high,october,tuesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,no_wind,low,low,november,tuesday,sunny,no_lightning,good
high,decreasing,deluge,drizzle,low,north,no_wind,high,low,august,saturday,cloudy,low,bad
cold,decreasing,deluge,deluge,high,west,low,high,high,april,tuesday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,west,low,low,low,november,wednesday,cloudy,no_lightning,bad
medium,increasing,drizzle,drizzle,high,east,low,low,high,december,thursday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,west,high,no_cloud,no_cloud,december,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,no_wind,low,low,september,thursday,sunny,no_lightning,bad
medium,increasing,dry,drizzle,low,west,no_wind,no_cloud,no_cloud,january,monday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,high,low,low,january,tuesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,west,high,high,high,february,tuesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,no_wind,high,low,may,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,north,low,high,high,may,friday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,high,high,low,february,friday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,east,low,high,low,june,thursday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,east,low,low,low,july,saturday,cloudy,high,bad
medium,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,december,friday,sunny,no_lightning,bad
medium,increasing,deluge,drizzle,low,east,high,high,high,march,thursday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,high,no_cloud,no_cloud,october,sunday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,north,high,low,low,november,sunday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,high,east,low,no_cloud,no_cloud,july,thursday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,east,high,low,low,july,friday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,west,low,high,high,may,tuesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,south,low,high,high,april,wednesday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,north,no_wind,high,low,may,tuesday,cloudy,no_lightning,bad
medium,decreasing,dry,deluge,high,west,high,no_cloud,no_cloud,april,sunday,sunny,no_lightning,bad
high,increasing,dry,dry,high,east,no_wind,no_cloud,no_cloud,august,wednesday,sunny,no_lightning,medium
cold,decreasing,drizzle,drizzle,low,north,high,low,high,january,wednesday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,east,no_wind,low,high,july,sunday,cloudy,no_lightning,bad
high,increasing,drizzle,deluge,high,north,no_wind,high,low,august,saturday,sunny,low,bad
medium,decreasing,deluge,deluge,high,west,high,high,high,february,sunday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,no_wind,no_cloud,no_cloud,january,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,north,no_wind,no_cloud,no_cloud,june,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,north,no_wind,high,high,january,friday,cloudy,no_lightning,bad
medium,decreasing,dry,deluge,high,north,low,no_cloud,no_cloud,february,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,north,high,low,high,february,monday,cloudy,no_lightning,bad
medium,decreasing,drizzle,deluge,high,north,low,low,high,september,monday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,south,no_wind,no_cloud,no_cloud,july,wednesday,sunny,no_lightning,medium
cold,decreasing,dry,deluge,high,south,high,no_cloud,no_cloud,september,tuesday,sunny,no_lightning,bad
high,increasing,dry,dry,low,west,no_wind,low,high,july,monday,cloudy,no_lightning,bad
medium,increasing,dry,drizzle,low,south,no_wind,high,low,august,monday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,east,no_wind,high,high,may,sunday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,west,low,low,high,may,tuesday,cloudy,no_lightning,bad
high,decreasing,dry,deluge,high,north,no_wind,no_cloud,no_cloud,june,wednesday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,low,east,high,high,high,march,sunday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,east,high,no_cloud,no_cloud,september,friday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,low,high,high,february,monday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,no_wind,high,high,september,sunday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,no_wind,high,high,december,saturday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,no_wind,low,low,december,wednesday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,west,low,no_cloud,no_cloud,january,thursday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,low,low,low,january,thursday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,south,low,low,high,june,saturday,cloudy,low,bad
medium,increasing,dry,dry,low,north,high,low,high,april,tuesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,east,no_wind,low,low,march,sunday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,south,low,high,high,july,tuesday,cloudy,no_lightning,good
medium,increasing,dry,dry,low,north,no_wind,no_cloud,no_cloud,april,saturday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,high,high,high,november,saturday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,south,no_wind,low,high,october,wednesday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,low,no_cloud,no_cloud,april,monday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,east,high,high,high,august,thursday,cloudy,no_lightning,good
cold,decreasing,dry,drizzle,low,west,high,no_cloud,no_cloud,april,thursday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,west,low,low,low,july,saturday,sunny,high,bad
cold,increasing,dry,drizzle,low,south,no_wind,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,bad
cold,decreasing,deluge,drizzle,high,east,high,high,high,march,sunday,cloudy,no_lightning,bad
cold,decreasing,deluge,drizzle,high,east,no_wind,low,low,september,friday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,no_wind,low,high,december,friday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,north,no_wind,low,low,december,tuesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,north,low,no_cloud,no_cloud,november,saturday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,high,low,high,december,wednesday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,low,west,low,high,low,july,tuesday,sunny,high,bad
cold,increasing,drizzle,deluge,high,south,low,low,high,january,sunday,cloudy,no_lightning,bad
medium,increasing,deluge,dry,high,south,high,high,low,december,tuesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,deluge,high,south,low,low,high,january,tuesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,north,no_wind,no_cloud,no_cloud,may,friday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,south,high,no_cloud,no_cloud,november,wednesday,sunny,no_lightning,bad
medium,decreasing,drizzle,deluge,low,north,low,low,low,december,thursday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,high,high,low,november,friday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,south,no_wind,no_cloud,no_cloud,april,monday,sunny,no_lightning,bad
high,increasing,dry,dry,low,west,high,no_cloud,no_cloud,august,sunday,sunny,no_lightning,good
medium,increasing,dry,dry,low,east,low,no_cloud,no_cloud,april,wednesday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,south,high,low,high,july,friday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,high,low,high,may,thursday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,east,no_wind,no_cloud,no_cloud,june,wednesday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,high,low,high,december,saturday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,north,low,no_cloud,no_cloud,february,thursday,sunny,no_lightning,bad
high,decreasing,dry,deluge,low,west,low,no_cloud,no_cloud,june,sunday,sunny,high,good
medium,decreasing,drizzle,drizzle,low,east,no_wind,high,low,january,thursday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,east,low,no_cloud,no_cloud,december,monday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,west,high,high,low,may,tuesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,south,low,no_cloud,no_cloud,december,monday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,south,no_wind,high,low,june,friday,sunny,low,bad
cold,increasing,dry,drizzle,low,north,no_wind,low,low,october,wednesday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,west,no_wind,low,high,october,saturday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,north,low,no_cloud,no_cloud,september,sunday,sunny,no_lightning,medium
high,decreasing,dry,deluge,high,east,no_wind,no_cloud,no_cloud,july,monday,sunny,low,bad
high,decreasing,drizzle,drizzle,low,north,high,high,high,july,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,east,low,high,low,april,monday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,low,west,high,no_cloud,no_cloud,september,monday,sunny,no_lightning,bad
high,decreasing,dry,drizzle,low,west,high,no_cloud,no_cloud,august,thursday,sunny,low,bad
medium,decreasing,drizzle,drizzle,low,north,high,high,high,december,wednesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,south,low,no_cloud,no_cloud,december,wednesday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,west,high,no_cloud,no_cloud,september,tuesday,sunny,no_lightning,bad
cold,increasing,dry,drizzle,high,south,no_wind,high,low,march,saturday,cloudy,no_lightning,bad
high,increasing,deluge,dry,low,east,no_wind,low,low,july,sunday,sunny,no_lightning,bad
high,increasing,deluge,drizzle,low,east,high,high,high,july,friday,cloudy,no_lightning,bad
cold,increasing,deluge,dry,high,east,high,high,low,april,thursday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,north,low,low,high,may,thursday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,no_wind,low,high,january,wednesday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,high,north,high,no_cloud,no_cloud,march,wednesday,sunny,no_lightning,bad
high,increasing,dry,dry,low,south,low,no_cloud,no_cloud,july,tuesday,sunny,no_lightning,medium
cold,increasing,dry,dry,high,south,high,no_cloud,no_cloud,march,monday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,north,low,high,high,october,thursday,cloudy,no_lightning,bad
medium,increasing,drizzle,drizzle,high,west,no_wind,low,low,january,friday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,south,high,no_cloud,no_cloud,november,wednesday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,south,no_wind,high,low,march,sunday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,high,high,low,january,tuesday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,south,high,no_cloud,no_cloud,january,sunday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,east,high,low,high,april,wednesday,cloudy,no_lightning,bad
high,decreasing,dry,drizzle,high,east,no_wind,no_cloud,no_cloud,july,friday,sunny,no_lightning,bad
high,decreasing,dry,deluge,high,south,low,no_cloud,no_cloud,august,saturday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,south,high,high,low,november,thursday,cloudy,no_lightning,bad
medium,decreasing,deluge,drizzle,low,east,high,low,high,september,saturday,cloudy,no_lightning,good
high,decreasing,drizzle,drizzle,low,east,low,high,low,june,thursday,cloudy,high,bad
cold,decreasing,dry,deluge,high,east,high,no_cloud,no_cloud,december,friday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,east,low,no_cloud,no_cloud,september,sunday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,no_wind,high,high,october,monday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,north,no_wind,low,low,june,friday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,no_wind,low,high,september,wednesday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,high,east,low,high,high,june,thursday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,west,no_wind,low,high,august,monday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,low,low,low,april,sunday,sunny,no_lightning,bad
cold,increasing,dry,deluge,high,west,no_wind,no_cloud,no_cloud,march,saturday,sunny,no_lightning,bad
medium,decreasing,deluge,drizzle,low,east,no_wind,low,low,november,saturday,sunny,no_lightning,bad
medium,decreasing,drizzle,deluge,high,east,no_wind,low,high,june,saturday,cloudy,no_lightning,bad
medium,increasing,drizzle,deluge,high,east,no_wind,high,low,june,saturday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,east,low,high,low,october,thursday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,no_wind,no_cloud,no_cloud,september,thursday,sunny,no_lightning,bad
medium,increasing,drizzle,drizzle,high,east,low,low,high,may,tuesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,low,high,low,february,monday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,west,high,low,high,april,monday,cloudy,no_lightning,bad
medium,decreasing,dry,deluge,high,east,low,no_cloud,no_cloud,january,wednesday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,no_wind,low,low,november,monday,sunny,no_lightning,bad
high,increasing,dry,drizzle,high,south,no_wind,no_cloud,no_cloud,june,sunday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,high,low,high,february,saturday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,west,low,no_cloud,no_cloud,january,thursday,sunny,no_lightning,bad
high,decreasing,dry,drizzle,high,east,high,no_cloud,no_cloud,june,monday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,high,high,low,may,sunday,cloudy,no_lightning,bad
medium,increasing,dry,drizzle,high,west,low,no_cloud,no_cloud,october,monday,sunny,no_lightning,bad
medium,increasing,drizzle,deluge,high,west,no_wind,high,low,november,wednesday,cloudy,no_lightning,bad
high,decreasing,dry,drizzle,low,north,no_wind,no_cloud,no_cloud,june,tuesday,sunny,no_lightning,good
medium,increasing,dry,dry,high,east,low,no_cloud,no_cloud,april,thursday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,low,high,high,september,saturday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,no_wind,low,high,may,monday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,east,high,no_cloud,no_cloud,december,sunday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,may,saturday,sunny,no_lightning,bad
cold,decreasing,drizzle,deluge,low,east,low,high,high,january,tuesday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,low,south,low,no_cloud,no_cloud,may,sunday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,north,low,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,north,low,no_cloud,no_cloud,march,friday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,north,high,low,high,june,monday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,east,high,no_cloud,no_cloud,april,friday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,north,no_wind,no_cloud,no_cloud,march,friday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,north,low,no_cloud,no_cloud,february,saturday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,north,high,low,high,july,saturday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,low,no_cloud,no_cloud,september,wednesday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,north,high,low,low,october,saturday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,east,high,high,low,april,friday,sunny,no_lightning,bad
high,increasing,dry,dry,low,west,low,low,high,august,wednesday,cloudy,no_lightning,bad
high,increasing,deluge,dry,high,north,no_wind,low,high,june,saturday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,low,no_cloud,no_cloud,may,wednesday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,west,no_wind,no_cloud,no_cloud,april,friday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,east,low,no_cloud,no_cloud,october,thursday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,east,no_wind,high,low,march,wednesday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,north,high,low,high,june,tuesday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,low,low,high,april,saturday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,north,high,no_cloud,no_cloud,july,friday,sunny,no_lightning,bad
cold,increasing,drizzle,drizzle,high,north,no_wind,high,high,april,monday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,low,no_cloud,no_cloud,august,thursday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,low,low,high,april,sunday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,no_wind,high,low,february,tuesday,cloudy,no_lightning,bad
high,decreasing,dry,drizzle,low,east,no_wind,no_cloud,no_cloud,august,thursday,sunny,high,bad
medium,increasing,drizzle,dry,high,north,high,low,low,may,wednesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,west,low,low,high,february,tuesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,high,low,high,october,thursday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,north,high,high,high,december,monday,cloudy,no_lightning,bad
high,decreasing,drizzle,drizzle,low,north,high,high,low,august,sunday,cloudy,no_lightning,bad
high,decreasing,drizzle,drizzle,low,north,high,low,high,july,friday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,high,east,high,low,low,june,saturday,cloudy,low,bad
medium,increasing,deluge,dry,low,east,no_wind,low,high,march,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,east,low,high,high,april,sunday,cloudy,no_lightning,good
high,increasing,deluge,drizzle,low,east,low,low,low,august,tuesday,cloudy,low,medium
medium,increasing,dry,dry,low,west,low,no_cloud,no_cloud,september,friday,sunny,no_lightning,bad
high,increasing,dry,dry,low,west,high,low,low,july,friday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,low,high,low,october,monday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,low,west,low,high,low,june,tuesday,sunny,no_lightning,good
cold,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,november,friday,sunny,no_lightning,bad
high,decreasing,deluge,deluge,high,south,low,high,low,june,monday,cloudy,low,bad
medium,increasing,dry,dry,high,east,low,no_cloud,no_cloud,march,sunday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,north,no_wind,no_cloud,no_cloud,october,sunday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,high,low,low,november,thursday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,north,low,high,low,july,friday,cloudy,high,bad
cold,increasing,dry,dry,high,south,no_wind,no_cloud,no_cloud,september,monday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,east,low,no_cloud,no_cloud,may,sunday,sunny,no_lightning,bad
medium,decreasing,deluge,drizzle,low,south,no_wind,high,low,september,monday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,no_wind,high,low,august,friday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,west,high,low,low,july,saturday,cloudy,no_lightning,bad
high,decreasing,drizzle,deluge,low,east,no_wind,low,low,june,wednesday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,no_wind,low,high,february,sunday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,west,high,no_cloud,no_cloud,december,monday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,south,low,low,high,september,wednesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,low,high,high,february,monday,cloudy,no_lightning,bad
medium,increasing,deluge,dry,high,east,no_wind,high,high,january,monday,cloudy,no_lightning,bad
high,decreasing,drizzle,drizzle,low,east,low,high,high,august,monday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,west,low,no_cloud,no_cloud,september,sunday,sunny,no_lightning,bad
high,increasing,dry,dry,low,south,high,no_cloud,no_cloud,july,thursday,sunny,no_lightning,good
medium,decreasing,dry,drizzle,low,east,no_wind,no_cloud,no_cloud,november,saturday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,north,high,high,high,february,saturday,cloudy,no_lightning,bad
medium,increasing,dry,drizzle,low,west,no_wind,no_cloud,no_cloud,december,sunday,sunny,no_lightning,bad
high,increasing,dry,dry,low,south,low,high,low,june,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,east,no_wind,no_cloud,no_cloud,april,sunday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,west,no_wind,low,low,february,thursday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,north,low,no_cloud,no_cloud,february,saturday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,east,no_wind,no_cloud,no_cloud,may,saturday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,west,high,no_cloud,no_cloud,march,friday,sunny,no_lightning,bad
cold,increasing,dry,drizzle,high,west,no_wind,no_cloud,no_cloud,march,saturday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,north,low,low,high,october,wednesday,cloudy,no_lightning,good
high,increasing,drizzle,dry,high,north,low,low,high,july,friday,cloudy,no_lightning,bad
high,decreasing,deluge,drizzle,low,south,low,low,high,june,monday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,low,high,low,november,tuesday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,north,low,no_cloud,no_cloud,march,wednesday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,east,low,high,high,october,saturday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,december,friday,sunny,no_lightning,bad
